time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1687046400,26686.77,26260.74,26510.43,9378.95,248624880.04,26338,direct,""
1687132800,27036.32,26265.34,26338,17956.62,477713441.96,26842.09,direct,""
1687219200,28407.13,26648.29,26842.09,45985.63,1265530107.38,28319.35,direct,""
1687305600,30780.84,28276.59,28319.35,57981.94,1710075101.48,30000.55,direct,""
1687392000,30499.85,29611.53,30000.55,34380.15,1034077333.64,29892.81,direct,""
1687478400,31416.26,29818.21,29892.81,41294.22,1263857697.39,30705.39,direct,""
1687564800,30811.37,30276.97,30705.39,13046.45,399256498.04,30548.2,direct,""
1687651200,31051.66,30297.61,30548.2,13393.19,410384145.76,30473.64,direct,""
1687737600,30658.58,29930.89,30473.64,21681.68,656487409.95,30271.91,direct,""
1687824000,31013.13,30232.66,30271.91,22312.5,683163079.08,30696.99,direct,""
1687910400,30714.46,29862.15,30696.99,19096.02,577536151.3,30078.9,direct,""
1687996800,30833.99,30043.07,30078.9,21447.12,654120553.86,30447.17,direct,""
1688083200,31272.25,29465.7,30447.17,47299.15,1438707503.25,30471.06,direct,""
1688169600,30653.27,30321.27,30471.06,7261.71,221634243.18,30590.76,direct,""
1688256000,30788.75,30181.34,30590.76,8660.66,264438993.35,30617.66,direct,""
1688342400,31388.17,30575.7,30617.66,19619.43,606995802.76,31160.24,direct,""
1688428800,31331.3,30638.68,31160.24,13276.48,411450957.26,30774.39,direct,""
1688515200,30877.17,30201.06,30774.39,15878.7,484235780.2,30503.07,direct,""
1688601600,31521.11,29869.18,30503.07,30802.77,942103548.67,29907.98,direct,""
1688688000,30450.48,29725.12,29907.98,19368.34,584908167.72,30349.69,direct,""
1688774400,30383.67,30056.18,30349.69,6360.91,192238272.3,30294.36,direct,""
1688860800,30441,30074.68,30294.36,7139.62,216124236.01,30171.49,direct,""
1688947200,31045.4,29964.03,30171.49,22193.83,674592681.26,30421.04,direct,""
1689033600,30805.91,30314.1,30421.04,17665.77,539220942.45,30626.62,direct,""
1689120000,30977.57,30214.19,30626.62,24693.12,755704294.14,30385.22,direct,""
1689206400,31844.94,30259.09,30385.22,42344.72,1314075890.88,31475.78,direct,""
1689292800,31636.78,29929.3,31475.78,33129,1021600213.08,30331.09,direct,""
1689379200,30403.12,30258.91,30331.09,4925.15,149344124.18,30298.45,direct,""
1689465600,30450.66,30083.92,30298.45,7411.25,224532522.64,30248.17,direct,""
1689552000,30340.04,29675.15,30248.17,18560.1,558752237.54,30147.68,direct,""
1689638400,30244.13,29538.16,30147.68,18759.37,560798877.42,29863.79,direct,""
1689724800,30193.82,29765.06,29863.79,14893.37,446435257.92,29918.6,direct,""
1689811200,30417.9,29577.88,29918.6,19269.41,577250260.25,29809.61,direct,""
1689897600,30060.04,29737.09,29809.61,13254.74,395907301.04,29911.46,direct,""
