time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1687046400,15.84,15.31,15.65,491829.19,7678517.01,15.43,direct,""
1687132800,16.13,15.36,15.43,733133.44,11503860.1,16.1,direct,""
1687219200,16.68,15.73,16.1,1517960.76,24582953.16,16.65,direct,""
1687305600,17.41,16.57,16.65,2236078.72,37898015.32,17.24,direct,""
1687392000,17.74,16.58,17.24,1315581.03,22524007.25,16.64,direct,""
1687478400,17.55,16.19,16.64,2379666.35,40268531.07,17.15,direct,""
1687564800,17.53,16.43,17.15,1235574.01,20935133.45,16.66,direct,""
1687651200,17.38,16.58,16.66,1147278.85,19569809.93,16.97,direct,""
1687737600,17.12,15.95,16.97,1436529.07,23801525.98,16.28,direct,""
1687824000,16.93,16.14,16.28,1294930.16,21477234.38,16.63,direct,""
1687910400,16.64,15.7,16.63,1747808.88,28247031.46,15.98,direct,""
1687996800,18.27,15.87,15.98,2625741.97,45742590.16,17.99,direct,""
1688083200,19.99,17.11,17.99,3056516.32,57111782.57,18.86,direct,""
1688169600,19.01,17.91,18.86,1014465.05,18636372.45,18.71,direct,""
1688256000,19.73,18.55,18.71,1577118.75,30247022.04,19.46,direct,""
1688342400,19.65,18.87,19.46,1005093.69,19337839.73,19.27,direct,""
1688428800,19.94,19.08,19.27,1029507.55,20030489.41,19.15,direct,""
1688515200,19.39,18.45,19.15,1162282.9,21870944.05,19,direct,""
1688601600,20.97,18.75,19,3637283.11,72288329.57,19.61,direct,""
1688688000,21.7,19.27,19.61,3377031.9,69662085.33,21.51,direct,""
1688774400,22.46,21.32,21.51,1959912,42760105.1,21.82,direct,""
1688860800,22.35,21.01,21.82,1182257.39,25582748.11,21.33,direct,""
1688947200,21.8,20.51,21.33,2078003.91,44008856.3,21.3,direct,""
1689033600,22.34,21.22,21.3,1390885.71,30543363.66,22.07,direct,""
1689120000,22.74,21.77,22.07,2038635.95,45421393.05,21.93,direct,""
1689206400,26.79,21.44,21.93,4578046.59,112040102.88,26.02,direct,""
1689292800,32.06,25.25,26.02,5914617.83,164647403.53,26.7,direct,""
1689379200,29.1,26.51,26.7,2780586.56,77616992.04,27.45,direct,""
1689465600,28.61,26.54,27.45,2089861.89,58227603.37,27.43,direct,""
1689552000,28.47,25.61,27.43,2941926.93,79483808.38,26.83,direct,""
1689638400,27.09,24.76,26.83,2439766.61,62512632.88,25.56,direct,""
1689724800,26.99,25.37,25.56,2475618.52,65210080.97,26.31,direct,""
1689811200,27.35,25.05,26.31,2241363.03,58814482.45,25.36,direct,""
1689897600,26.01,25.07,25.36,1304691.93,33312386.28,25.51,direct,""
1689984000,25.97,24.09,25.51,938917.66,23659080.27,24.52,direct,""
1690070400,25.25,24.16,24.52,1196929.41,29589539.29,24.76,direct,""
1690156800,24.83,22.87,24.76,1723093.66,40698588.87,23.37,direct,""
1690243200,24,22.75,23.37,1322488.01,30784991.58,23.29,direct,""
1690329600,25.65,23.18,23.29,2122730.31,52095173.98,25.18,direct,""
1690416000,25.65,24.68,25.18,1602133.72,40265979.19,25.1,direct,""
1690502400,25.52,24.52,25.1,1367070.84,34151035.91,24.81,direct,""
1690588800,25.38,24.74,24.81,766106.34,19243067.28,25.16,direct,""
1690675200,25.21,23.55,25.16,1208100.93,29669821.01,24.25,direct,""
1690761600,24.79,23.54,24.25,1307825.71,31654208.04,23.72,direct,""
